post_id,symptom
33181,sense of doom
239,mad
7581,unhappy
1517,ptsd
1156,anxiety
1929,panic attack
1929,feeling bad
1929,vomiting
15182,anxiety
901,anxiety
1055,coughing
4489,anxiety
4489,anger
4489,ptsd
561,headaches
561,anxiety
524,mad
1486,sad
1324,screaming
1616,anxiety
9098,ocd
802,joint pain
184,falls
2080,anxiety
1687,depression
1687,manic
26811,pain
87,ptsd
45812,mad
45812,anxiety
1896,sneeze
1896,headaches
1896,watery eyes
1896,allergy
24750,on edge
24750,anxiety
10742,adhd
10742,anxiety
10742,increased heart rate
2026,depression
19961,shock
19961,panic attack
19961,crying
19961,tired
47184,fall
47184,anxiety
54618,ptsd
8255,anxiety
1977,anxiety
1243,depression
36749,pain
46984,anxiety
1155,anxiety
967,dissociation
967,depression
640,anxiety
640,depression
954,mad
954,screaming
115,ptsd
1482,anxiety
25,social anxiety
418,alcoholism
418,heart attack
1435,rage
15123,anxiety
1658,ptsd
910,anxiety
28672,hopeless
1297,overwhelmed
1789,unhappy
1579,anxiety
1579,depersonalization
20693,ocd
2336,depression
37248,anxiety
198,anxiety
1695,crying
1695,screaming
1695,anxiety
31281,broken wrist
53839,insomnia
24621,sleepy
24621,anxiety
53925,coma
53925,illusion
26152,anxiety
42669,ptsd
35381,odd
638,anxiety
638,depression
53321,anxiety
16963,anxiety
16963,insomnia
1578,anxiety
1578,panic attack
1922,rage
13064,anxiety
291,anxiety
55234,ptsd
570,ptsd
1268,depression
1268,anxiety
22691,dwarfism
10227,anger
10227,depression
10227,bipolar disorder
642,depression
642,social anxiety
1700,cry
1700,ptsd
1732,panic attack
1732,anxiety
44055,anger
44055,screaming
39170,anxiety
764,anxiety
764,cry
916,anxiety
916,panic attack
36724,bipolar disorder
145,depression
145,suicidal ideation
142,allergy
19529,anxiety
212,anxiety
212,depression
212,paranoia
856,short fuse
26901,crying
26901,killing myself
36113,ptsd
14493,cry
23483,depression
23483,anger
990,cry
1369,overwhelmed
17500,weight gain
885,anxiety
885,panic attack
30252,resentment
1342,pain
1857,overwhelmed
47183,anxiety
1229,anxiety
1600,anger
1864,unhappy
1864,negative
1864,cry
11857,rage
658,ptsd
35,cancer
589,mad
712,pissed off
42242,ptsd
3090,depression
8657,pain
34171,fall
960,tired
960,crying
960,anxiety
41461,crying
267,hopeless
267,anxiety
43115,overwhelmed
668,overwhelmed
899,resentment
899,lung cancer
6482,no appetite
1452,anger
1813,depression
1813,euphoria
1813,mania
1813,paranoia
47457,hostile
1694,ptsd
1257,fall
3914,restless leg
3914,anxiety
41296,arthritis
41296,chronic fatigue
41296,falls
41296,achilles tendonitis
41296,osteoarthritis
41296,pain
622,rage
378,anxiety
691,fall
851,tired
851,mania
397,killing myself
36592,ptsd
36592,screaming
36592,sweating
1320,ptsd
1208,chills
131,anxiety
28017,cancer
28017,lung cancer
1110,fall
1110,anxiety
781,anxiety
781,depression
781,negative
33983,ptsd
54,anxiety
24632,tiredness
24632,sleepiness
3808,anxiety
17355,ptsd
2431,anxiety
52145,depression
52145,paranoia
52998,chills
52998,fever
52998,dizziness
52998,dry cough
52998,coughing
1063,anxiety
1063,agoraphobia
1063,tired
47522,shock
1292,anxiety
39940,kill myself
14873,ptsd
51528,ptsd
51528,alcoholism
8688,anxiety
29835,emotional pain
1274,mad
566,ptsd
566,sneeze
1948,anxiety
1948,depression
1457,tired
12245,anxiety
12245,guilt
1410,cutting
18550,sad
314,tired
314,crying
314,screaming
29303,bouncing
641,fall
51778,overweight
51778,cancer
33936,anxiety
1603,asthma
554,anxiety
686,hopeless
38544,ptsd
38544,panic attack
29856,fall
48237,gist
279,dissociation
47318,dissociation
47318,rage
1242,anxiety
997,suicidal thoughts
997,sad
502,anxiety
1346,crying
1346,anxiety
1346,depression
37827,anger
565,anxiety
565,self-harm
32884,screaming
32884,shock
32884,numb
175,anxiety
175,depression
810,fall
438,anxiety
438,ptsd
55018,guilt
1191,brain fog
1191,anxiety
1191,tired
38141,ptsd
1808,crying
878,tired
1028,depression
24421,tired
1469,panic attack
1469,screaming
1469,fury
37696,guilt
1558,negative
1558,hypervigilance
39461,crying
39461,cutting
24013,nausea
24013,anxiety
24013,throwing up
24013,depression
24013,sad
5767,crying
1422,anxiety
1422,negative
959,anxiety
1790,ectropion
1790,crying
1697,heart attack
2110,fall
25113,numb
25113,fall
18738,collecting
1030,anxiety
478,ptsd
478,cry
45444,ptsd
1525,tired
1525,ptsd
1739,pain
1276,ptsd
49040,scream
49040,crying
2486,fall
26227,ocd
814,anxiety
814,paranoia
52817,depression
1086,sad
563,weight loss
563,weight gain
563,anxiety
18571,schizophrenia
21855,ptsd
8267,ptsd
8267,depression
8267,sad
8267,mad
8267,irritable
8267,fall
8267,apathy
40454,cry
41787,sweating
474,arranging
1531,cry
1531,scream
9555,ptsd
9555,celiac disease
9555,panic attack
1586,negative
1586,anxiety
732,tired
732,anxiety
173,hallucinations
173,anxiety
49375,panic attack
49375,no social interaction
843,ordering
19416,anxiety
19416,panic attack
805,scream
805,pain
1475,guilt
582,ptsd
1386,shock
6416,screaming
461,tired
461,falls
15762,ptsd
15762,anxiety
719,ptsd
876,bpd
876,adhd
449,pissed off
33515,cry
22935,anger
69,panic attack
69,negative
13824,panic attack
29317,pain
29317,depression
19719,melancholy
13146,panic attack
13146,heart attack
1096,bpd
1096,ptsd
1044,numbness
1044,blurred vision
1044,fatigue
793,tired
1045,overly sensitive
54833,sad
1765,anxiety
1765,depression
1765,depersonalization
586,anger
624,sad
1400,rage
49,cry
49,sad
4497,anxiety
4497,numb
519,impulsive
519,odd
519,ptsd
13100,want to die
19625,guilt
1474,ptsd
101,ptsd
21498,anxiety
21498,sad
1296,agoraphobia
148,anger
26488,central sleep apnea
1219,mad
47296,tearing
1172,tired
1861,negative
1683,kill myself
1683,depression
696,anxiety
696,depression
696,ptsd
1940,anxiety
34274,ptsd
6394,phobia
1568,cancer
2340,tired
604,ptsd
1080,tired
1768,tired
1768,fever
1768,fatigue
1768,depression
1768,anxiety
1768,panic attack
41947,ptsd
1792,anxiety
17651,depression
17651,anxiety
17651,pain
10561,social anxiety
1209,diarrhea
1209,heart attack
1209,chest pain
374,ptsd
1498,anxiety
1788,anxiety
55757,anxiety
55757,racing thoughts
55757,rage
39029,anxiety
7940,cry
7940,numbness
7940,numb
448,palpitations
448,cry
54097,mad
727,mad
6681,tired
6681,pain
6681,chronic pain
6681,ptsd
46091,anxiety
46091,killing myself
933,anxiety
28467,depression
28467,anxiety
28467,overwhelmed
1176,anxiety
51304,cry
51304,anxiety
49021,depression
52656,pain
1574,ptsd
1574,crying
12661,anxiety
39198,crying
39198,ptsd
51185,hostile
51185,killing myself
86,anxiety
86,twitching
27987,anxiety
27987,hostility
50630,crying
43641,ptsd
43641,ocd
39315,tired
40276,anxiety
19808,cry
19808,phobia
2412,unhappy
1418,anxiety
1418,panic attack
9432,sad
1491,ptsd
785,unhappy
1472,ptsd
1623,seizures
1623,ptsd
1623,schizophrenia
1623,mania
1623,anxiety
1623,depression
535,brain swelling
535,cancer
1255,furious
1255,crying
494,pain
513,sad
54439,ocd
54439,anxiety
1438,anxiety
602,pain
853,pain
124,crying
124,pain
608,guilt
780,sad
36,cry
36,tired
53437,depression
1506,cry
49120,pain
49120,indigestion
1091,anxiety
27972,mad
224,ptsd
224,body odor
224,anxiety
52939,resentment
9252,asd
9252,tearing
28481,tired
17528,tired
17528,falls
20,negative
12231,ptsd
1373,cancer
1534,periodontitis
1262,negative
1262,cry
1262,unhappy
13882,scarring
1034,anxiety
1034,depression
1034,seizure
42555,ptsd
42555,anxiety
38266,anxiety
220,autism
220,ptsd
220,depression
220,bpd
220,guilt
220,schizophrenia
841,panic attack
841,ptsd
1321,ptsd
41607,tired
1717,anxiety
695,headache
695,unhappy
695,odd
695,numb
38,anxiety
631,furious
500,panic attack
1319,asthma
1319,hallucinations
230,negative
505,anxiety
1608,tired
24573,fainting
71,anxiety
51276,coldness
51276,anxiety
51276,depression
51276,insomnia
4773,panic attack
22,pain
1170,fall
52281,cry
52281,rage
462,ptsd
49771,depression
122,anger
122,anxiety
372,anxiety
6139,sleepy
30060,anxiety
2323,fall
2323,snore
1668,ptsd
1668,anxiety
37526,dementia
35873,anxiety
35873,depression
1721,sad
715,irritability
715,concentration problems
715,insomnia
715,social anxiety
715,depression
715,anxiety
146,adhd
146,odd
146,anxiety
146,ocd
45208,chronic pain
45208,nausea
10936,night sweats
10936,depression
1213,ptsd
772,anxiety
574,heart attack
428,ptsd
19914,anxiety
19914,ptsd
19914,depression
1818,anxiety
1818,throwing up
424,throwing up
9784,ptsd
9784,agoraphobia
47814,anxiety
768,tired
578,autism
54777,anxiety
1370,clubbing
29940,anxiety
29940,depression
18305,hopping
20570,anxiety
53619,anger
8825,cry
8825,anxiety
8825,social anxiety
21375,sad
1272,alcoholism
1272,ptsd
55329,cry
953,rage
13932,ptsd
769,ptsd
43792,ptsd
43792,borderline personality disorder
1323,anxiety
1323,malaise
25112,ptsd
25112,sad
25473,screaming
28349,social anxiety
28349,depression
28349,anxiety
776,pain
52748,anger
52748,sweating
1604,ptsd
1604,panic attack
19045,anxiety
1951,depression
1951,ptsd
1951,anxiety
530,tired
865,ptsd
865,anxiety
865,tearing
1535,anger
18292,screaming
18292,ptsd
7237,urinary tract infection
1908,fall
1908,cry
1908,adhd
13792,crying
13792,screaming
19930,anxiety
19930,hopeless
931,feeling bad
704,liver cirrhosis
5641,depression
5641,rage
3512,ptsd
16084,crying
1522,anger
39113,mad
39113,negative
986,social anxiety
986,anxiety
43620,unhappy
45646,hallucinations
1227,anxiety
1227,acne
30216,ptsd
10266,hopeless
808,anxiety
1186,bile duct cancer
1633,mad
44555,ptsd
1817,anxiety
32432,fall
54298,anxiety
37991,ptsd
37991,crying
473,sarcoma
473,cancer
4307,neuropathy
4307,depression
4307,rage
4307,chronic fatigue
4307,chronic pain
4307,anxiety
4307,killing myself
3076,anxiety
113,cutting
50523,crying
35929,tired
15725,anxiety
15725,depression
1337,anxiety
1337,depression
35051,anxiety
15636,anxiety
18314,tired
18779,screaming
18779,scream
1848,fall
1734,pain
1441,cocaine addiction
1572,anxiety
1645,tired
1645,anxiety
1645,trouble falling asleep
532,hopeless
532,crying
109,ptsd
25475,anxiety
25475,low self-esteem
25475,depression
41524,ptsd
18982,mad
18982,scream
978,anxiety
11998,phobia
53891,ptsd
1165,tired
1490,hostile
1489,anxiety
12499,anxiety
743,asd
743,ptsd
743,personality disorder
743,depression
12606,cutting
12606,pain
44354,kill myself
44354,anxiety
44354,depression
44354,ptsd
908,anxiety
38821,fall
2239,mad
3129,bpd
3129,anxiety
243,on edge
243,screaming
243,crying
1358,self-harm
53287,guilt
176,anxiety
176,cry
17513,screaming
17129,ptsd
51954,depression
1766,anxiety
2349,negative
11014,sad
47836,anger
1662,cry
487,anxiety
487,depression
487,poor concentration
487,autism
319,fall
25733,ptsd
750,apnea
750,coughing
748,sad
748,anxiety
671,fall
1035,negative
1035,anger
697,anxiety
46642,ptsd
354,anxiety
663,confusion
203,anxiety
203,depression
203,sad
251,tired
172,fall
53190,crying
1791,tired
1791,seizure
1791,seizures
25459,fall
23608,ptsd
23608,crying
42595,ptsd
11357,pain
23764,depression
23764,anorexia
2438,anxiety
55001,anxiety
55001,depression
685,anxiety
685,ocd
18966,anxiety
18966,depression
18357,depression
1914,anxiety
283,panic attack
283,throwing up
1380,screaming
50122,social anxiety
1473,anxiety
587,ptsd
338,anxiety
338,depression
43805,ptsd
963,resentment
963,anger
26548,overactive bladder
26548,anxiety
1496,fall
335,alcoholism
335,bulimia
32,respiratory distress
909,odd
55379,cry
34744,adhd
2138,cry
1641,anxiety
1641,cancer
1641,tingling
1641,pain
1641,cough
47149,anxiety
12223,anxiety
12223,ocd
639,anxiety
639,shivering
639,crying
1512,highly sensitive
1553,phobia
1553,ptsd
42357,anxiety
907,crying
36167,anxiety
36167,depression
36167,sad
951,confusion
346,crying
22898,ptsd
426,ptsd
426,bipolar depression
1665,ptsd
1665,anxiety
1665,screaming
483,cellulitis
483,anxiety
1258,anxiety
1258,depression
42517,anxiety
1905,shock
381,screaming
1692,pain
36404,pain
36404,panic attack
7446,crying
913,tearfulness
52827,thyroid goiter
52827,anxiety
550,brain tumor
550,anxiety
252,pain
50901,tired
710,tired
710,crying
54143,crying
54143,anxiety
277,fall
1203,crying
1010,overwhelmed
32266,ptsd
1018,fall
7419,anxiety
7419,palpitations
52426,anxiety
44908,fall
1317,hopping
294,paranoia
1432,overwhelmed
34952,ptsd
1544,depression
49373,anxiety
49373,boil
39729,anxiety
39729,depression
39729,shock
1194,ocd
1194,rumination
1194,anxiety
1090,unhappy
40920,negative
1014,screaming
43463,headaches
43463,headache
46706,negative
857,anxiety
857,depression
15251,tired
15251,fall
15251,anxiety
26225,pain
18,on edge
19805,corn
52427,prostate cancer
52427,depression
52427,anxiety
52427,anger
33467,tired
33467,insomnia
33467,depression
33467,anxiety
33467,lack of motivation
33467,ptsd
611,chronic pain
611,ptsd
455,allergy
1359,anger
235,kill myself
235,depression
235,ptsd
36509,anxiety
36509,ocd
757,dizziness
757,nausea
757,anxiety
757,vertigo
1046,sad
54948,anxiety
31767,rage
707,chill
23717,anxiety
1720,crying
887,depression
887,anxiety
887,rage
55,limp
55,crying
2474,depression
2474,irritable
2474,negative
2474,anger
2474,anxiety
10334,tired
269,pissed off
269,negative
5187,numb
49299,crying
49299,heroin addiction
163,anxiety
12657,hopping
741,tired
14790,sad
14790,kill myself
32978,anxiety
32978,depression
32978,borderline personality disorder
32978,bpd
32978,bipolar disorder
28941,anxiety
130,ptsd
52087,ptsd
774,ptsd
774,anxiety
774,cry
33077,cancer
52630,anxiety
51547,pain
51547,back pain
51547,muscle inflammation
1733,ptsd
1639,trouble breathing
6738,sad
19523,ptsd
19523,cry
48351,anxiety
48351,adhd
1755,collecting
1545,seizures
1545,screaming
922,tired
38697,ptsd
667,screaming
25617,anger
25617,depression
25617,anxiety
49236,tired
32344,sad
32344,anxiety
32344,chills
38806,shuddering
1745,tired
911,screaming
28571,crying
20674,mad
28867,crying
13182,ptsd
416,lupus nephritis
1588,anxiety
320,ptsd
320,ocd
1464,anger
1464,screaming
1464,crying
1413,mad
6261,paranoia
6261,ptsd
43425,pissed off
43425,ocd
16802,chill
52339,depression
1487,anxiety
51955,guilt
301,anxiety
301,hyperventilation
301,shallow breathing
301,gastritis
301,kidney stones
301,high blood pressure
40798,odd
300,anxiety
300,depression
300,ptsd
398,ptsd
1516,anxiety
12219,crying
12219,cry
1283,fall
1283,seizure
31496,anxiety
1196,grumpy
14399,cry
42510,dementia
33237,depression
33237,anxiety
33237,ptsd
21743,screaming
863,hypervigilance
863,hypersensitivity
1886,rage
33281,furious
33281,mad
46275,ptsd
112,odd
18935,depression
3366,anxiety
948,ptsd
948,anxiety
948,depression
1093,depression
1093,paranoia
1093,dissociation
1093,anxiety
284,pain
1946,anxiety
1946,crying
24959,anxiety
31381,cry
645,hopeless
26302,ptsd
538,screaming
17756,anxiety
1901,anxiety
37243,soft tissue sarcoma
918,depression
918,anxiety
29051,pain
47,anxiety
48294,thin build
48294,crying
48294,cry
54487,rage
150,ptsd
273,anxiety
133,seizures
34906,crying
44132,hopeless
14075,bpd
1529,heart attack
1529,anxiety
1529,panic attack
45967,anxiety
31771,anxiety
18731,negative
575,cough
19281,anxiety
15028,anxiety
15028,tired
15028,panic attack
38064,tired
42282,mad
993,on edge
1106,anxiety
1106,depression
178,ptsd
1064,anxiety
1064,anticipatory anxiety
1714,pain
2805,alcoholism
80,anxiety
1334,chronic pain
1334,ptsd
1005,cry
15047,derealization
15047,depression
15047,anxiety
15047,panic attack
31181,anxiety
31181,stroke
31181,panic attack
7338,numb
7338,headaches
919,fall
5415,fall
5415,snore
2370,negative
2370,pain
2370,cutting
1210,tired
27339,anxiety
1538,anxiety
13847,anxiety
25390,furious
52577,anxiety
107,tired
47877,crying
1140,falls
43418,panic attack
43418,cry
43418,hopeless
43418,numb
1087,anxiety
1053,depression
2951,mad
19130,overwhelmed
19130,ptsd
20067,fever
13461,mad
725,anxiety
647,furious
926,stroke
926,mad
1403,tired
46860,headaches
46860,ptsd
26336,ptsd
26336,tired
30774,anger
1664,anxiety
114,killing myself
2498,social anxiety
1471,negative
47060,impulsive
47060,anxiety
434,panic attack
1505,hot flash
655,tired
655,coma
655,deja vu
655,epilepsy
1200,mad
447,anxiety
447,screaming
980,brain tumour
980,headache
1502,anger
58,screaming
76,ptsd
76,derealization
76,depersonalization
76,tired
30751,schizophrenia
30751,ptsd
47320,anger
1249,anxiety
23073,mad
767,sad
7595,wrath
7595,rage
31699,depression
617,guilt
3231,mad
21126,vomiting
21126,passing out
22056,headaches
800,stuffy nose
46555,anxiety
16294,panic attack
44738,ptsd
303,social anxiety
10108,hopeless
190,anxiety
34425,cancer
34425,ptsd
34425,cognitive delay
10918,ptsd
902,panic attack
1168,crying
35276,pain
1159,anxiety
1776,kill myself
577,ptsd
328,rage
1635,anxiety
1107,anxiety
26806,ptsd
1135,mad
8207,tired
34679,sad
161,ptsd
161,dissociation
714,ptsd
27018,sad
55419,autism
136,anxiety
136,depression
136,ptsd
28275,end it all
21863,tinnitus
1865,anger
1865,crying
516,anxiety
516,crying
429,pain
92,insomnia
1833,aggression
482,anxiety
482,depression
482,panic attack
450,depression
450,depressive episode
254,alcoholism
254,dementia
52543,anxiety
8078,seizures
8078,seizure
46961,odd
51158,insomnia
1390,sweating
1390,cough
98,guilt
98,anxiety
98,panic attack
15094,pain
13398,anxiety
49126,overwhelmed
49126,numb
32828,cough
32828,sad
45096,seizure
1348,ptsd
10822,ptsd
13611,negative
1077,ptsd
1077,anxiety
48899,aggression
35675,anxiety
549,dysphoria
463,anxiety
19888,sad
7014,sad
634,tired
28133,confusion
1787,misophonia
77,anxiety
22750,anger
862,mad
862,negative
1622,on edge
1782,aggression
1782,agitation
1058,tube feeding
1058,achalasia
75,crying
75,cranky
6618,anxiety
40321,ptsd
1465,kill myself
1465,anxiety
1465,depression
245,sudden death
37469,fainting
37469,panic attack
1537,upset stomach
1537,throwing up
1537,tired
164,anxiety
162,alcoholism
1928,anger
1076,overwhelmed
1076,falls
1059,anxiety
1059,hopelessness
496,screaming
39318,anxiety
688,pain
1528,trance
1528,anxiety
2100,fall
36701,anxiety
36701,ocd
36701,headache
17775,headaches
17775,confusion
17775,depression
47476,hopeless
539,guilt
539,odd
401,scarring
1546,seizures
18443,anger
981,delusions
981,hallucinations
40965,guilt
799,depression
799,negative
6286,ptsd
955,mad
59,anger
18381,elevated heart rate
18381,headaches
18381,anxiety
18381,headache
18381,meningitis
18381,brain tumor
53750,tearing
53750,ptsd
14213,anxiety
14213,tired
11807,anxiety
11807,depression
1786,anxiety
18802,seizure
18802,anxiety
159,tired
159,ptsd
1701,anxiety
1701,depression
1362,panic attack
1362,crying
1362,shock
31719,anxiety
12284,tired
1269,mad
293,screaming
29893,panic attack
1202,odd
1640,adhd
7380,tired
6173,cry
179,ptsd
375,tired
375,want to die
837,pain
315,ptsd
315,depression
315,anxiety
315,insomnia
42678,agoraphobia
45317,tired
17,mad
17,screaming
1947,headache
492,chill
37096,depressive disorder
37096,bipolar disorder
37096,obsessive-compulsive disorder
37096,ocd
37096,schizophrenia
37096,autism spectrum disorder
37096,intellectual disability
15157,screaming
15157,crying
12954,anxiety
12954,ocd
25571,anxiety
1316,dissociation
19295,short hand
46570,depression
46570,irritability
386,cry
51917,chest pain
51917,heart palpitations
51917,pain
51917,shoulder pain
51917,back pain
51917,headaches
51917,anxiety
51917,tired
456,sad
1660,jumping
1660,anxiety
1660,fall
46072,anxiety
36988,depression
36988,anxiety
1353,ptsd
16972,asd
38230,crying
43766,hopeless
1060,anxiety
7773,fall
39882,scream
1601,killing myself
1601,depression
937,depression
937,anxiety
22396,negative
1883,weakness
1383,weakness
1405,ptsd
1405,scarring
470,paralysis
18404,panic attack
32084,suicidal thoughts
17624,tired
1360,sad
46799,agoraphobia
53869,overwhelmed
1345,ptsd
18844,hopeless
16926,bouncing
16926,cry
16926,overwhelmed
16926,tired
287,sad
1428,anxiety
1428,social anxiety
54732,furious
364,anxiety
364,phobia
364,nausea
10170,ptsd
8456,asthma
8456,ptsd
1291,negative
1379,anxiety
46453,anxiety
43793,numb
1078,pain
1747,anxiety
782,ptsd
1130,cancer
11164,anxiety
2040,cry
48599,jumping
1564,crying
1564,overwhelmed
1564,pile
23653,crying
23653,sweating
23653,manic
23653,furious
1530,sad
23408,killing myself
1655,mad
1655,tired
1618,crying
36801,ptsd
36801,anxiety
36801,depression
635,tired
635,crying
13816,ptsd
30748,hodgkin's lymphoma
581,crying
581,cry
458,cutting
778,headaches
278,anxiety
45537,anxiety
1913,rage
614,mad
7055,negative
7055,anxiety
64,fall
22104,grumpy
4199,mad
1447,restlessness
40296,ptsd
49851,derealization
49851,hypervigilance
49851,paranoia
457,ptsd
143,anxiety
143,negative
143,depression
1305,bpd
8257,anxiety
8257,ptsd
43607,anxiety
1450,anticipatory anxiety
1450,anxiety
5563,anxiety
2423,depression
734,shock
20394,tired
1133,tired
1133,anxiety
1133,paranoia
1133,pain
10442,personality disorder
961,ptsd
